Mods count: 496
 
jar name                                                                           | mod id (isMCreator)                                               | mixin configs
charmofundying-fabric-6.5.0+1.20.1.jar                                             | charmofundying                                                    | charmofundying.mixins.json
    /META-INF/jars/spectrelib-fabric-0.13.15+1.20.1.jar                            | spectrelib                                                        | spectrelib.mixins.json
        /META-INF/jars/core-3.6.5.jar                                              | com_electronwill_night-config_core                                | 
        /META-INF/jars/toml-3.6.5.jar                                              | com_electronwill_night-config_toml                                | 
chat_heads-0.13.7-fabric-1.20.jar                                                  | chat_heads                                                        | chat_heads.mixins.json, chat_heads.fabric.mixins.json
chefs-delight-1.0.3-fabric-1.20.1.jar                                              | chefsdelight                                                      | chefsdelight.mixins.json
cherishedworlds-fabric-6.1.6+1.20.1.jar                                            | cherishedworlds                                                   | cherishedworlds.fabric.mixins.json, cherishedworlds.mixins.json
chunkloaders-1.2.8a-fabric-mc1.20.1.jar                                            | chunkloaders                                                      | chunkloaders.mixins.refmap.json, chunkloaders.mixins.json
chunksending-fabric-1.20.1-2.8.jar                                                 | chunksending                                                      | chunksending.mixins.json
Chunky-1.3.146.jar                                                                 | chunky                                                            | chunky.mixins.json
cicada-lib-0.9.1+1.20.1.jar                                                        | cicada                                                            | cicada.mixins.json
clientcrafting-fabric-1.20.1-1.8.jar                                               | clientcrafting                                                    | clientcrafting.mixins.json
cloth-config-11.1.136-fabric.jar                                                   | cloth-config                                                      | 
    /META-INF/jars/basic-math-0.6.1.jar                                            | cloth-basic-math                                                  | 
Clumps-fabric-1.20.1-12.0.0.4.jar                                                  | clumps                                                            | clumps.mixins.json
cobweb-fabric-1.20.1-1.0.0.jar                                                     | cobweb                                                            | cobweb.mixins.json, cobweb.fabric.mixins.json
collective-1.20.1-7.84.jar                                                         | collective                                                        | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
combatplus-core-1.1.0+1.20.1.jar                                                   | combat-plus-core                                                  | combat-plus.mixins.json
    /META-INF/jars/Fabric-ASM-v2.3.jar                                             | mm                                                                | mixins.mm.json, mixins.mm.refmap.json
    /META-INF/jars/lilylib-1.1.3-mc1.20.jar                                        | lilylib                                                           | 
combatroll-fabric-1.3.3+1.20.1.jar                                                 | combatroll                                                        | combatroll.mixins.json
